from,to,pos,ht,wt,dob,college
2017,2018,F-G,6-7,225,October 24, 1996,University of California
1974,1980,F,6-7,220,December 14, 1951,University of Missouri
2002,2005,G,6-7,222,March 18, 1981,Okaloosa-Walton Community College
2002,2013,F,6-11,270,March 10, 1982,
1968,1972,G,5-9,160,September 14, 1940,University of North Carolina
1947,1947,F,6-3,190,October 12, 1919,University of Wyoming
1981,1981,C,6-11,225,February 19, 1955,University of Nevada, Las Vegas
2014,2016,G,6-5,189,August 26, 1990,North Carolina State University
1997,2000,G,6-3,185,April 3, 1974,Murray State University
2015,2016,G,6-3,190,January 29, 1992,Oklahoma State University
1987,1997,C-F,6-9,257,July 19, 1963,George Washington University
1992,1992,G,6-3,180,November 3, 1969,Slippery Rock University of Pennsylvania
1994,2008,F-C,6-11,225,October 14, 1969,Louisiana Tech University
1992,2003,G,6-2,190,May 22, 1968,New Mexico State University
1990,1990,F,6-8,220,July 5, 1965,University of Idaho
1981,1985,C-F,6-10,215,August 20, 1958,Mississippi State University
1968,1975,F-G,6-5,205,May 22, 1942,University of Dayton
1973,1980,C,6-11,225,February 23, 1950,University of Kansas
2007,2015,G,6-4,205,November 29, 1985,Michigan State University
1948,1952,F,6-3,200,June 27, 1929,
2018,2018,G,6-5,225,February 10, 1995,Southern Methodist University
2002,2005,G,6-2,189,June 3, 1979,McNeese State University
1985,1992,F-G,6-6,185,July 29, 1960,University of Arkansas
1949,1950,C,6-10,235,January 1, 1930,
1990,1990,F,6-6,210,November 13, 1967,DePaul University
1969,1969,F,6-6,208,June 12, 1945,Marquette University
1973,1973,G,6-0,160,August 30, 1946,Manhattan College
1998,2006,G,6-4,190,June 14, 1972,Temple University
2017,2018,G-F,6-7,195,March 2, 1993,
1965,1972,G,6-1,175,November 4, 1938,DePaul University
1976,1983,F-C,6-9,185,October 19, 1954,La Salle University
1997,2016,G-F,6-6,212,August 23, 1978,
1989,2003,F-C,6-9,245,April 25, 1965,Seton Hall University
1984,1986,C,7-0,245,July 14, 1959,University of San Francisco
1990,1990,C,6-9,250,August 8, 1964,Texas State University
1976,1976,G,6-3,200,July 9, 1953,Manhattan College
1962,1963,F,6-7,210,August 1, 1937,Tennessee State University
1990,1990,G,6-6,215,March 17, 1966,University of North Carolina
1962,1963,F-C,6-9,210,August 17, 1938,Jackson State University
2000,2009,G,6-4,210,September 16, 1976,Clemson University
1977,1986,G,6-3,190,August 20, 1954,Indiana University
1961,1965,F,6-6,205,October 28, 1938,Wake Forest University
2010,2016,F,6-7,209,May 22, 1988,University of Arizona
1949,1952,F-C,6-5,220,July 30, 1925,Columbia University
1991,2002,F-G,6-6,220,June 19, 1968,University of Arizona
2000,2005,G-F,6-5,189,November 2, 1977,Creighton University
1991,2002,F,6-10,215,June 5, 1967,University of Iowa
2014,2018,G-F,6-7,205,March 16, 1991,University of North Carolina
1968,1969,C,7-0,240,July 29, 1945,Utah State University
1979,1979,F,6-6,190,May 15, 1956,California State University, Fullerton
1953,1953,G,6-0,170,July 13, 1930,New York University
1966,1966,C-F,6-7,250,May 5, 1942,University of Michigan
1970,1972,F-C,6-8,200,August 26, 1947,University of North Carolina
1976,1978,G,6-2,185,February 28, 1953,University of Utah
2003,2007,C-F,6-11,250,December 14, 1973,Auburn University
2014,2017,G,6-1,191,November 12, 1992,University of Michigan
1982,1982,G,6-5,175,May 22, 1958,University of Louisville
2012,2018,G,6-6,214,July 20, 1991,University of Colorado
2005,2006,G,6-1,200,February 25, 1980,University of Memphis
2006,2006,G,6-3,205,April 9, 1979,University of Minnesota
